cik,company,sic,form,filing_date,accession,primary_doc
1865506,Zeo Energy Corp.,1700,8-K,2024-08-02,0001213900-24-064742,ea0210518-8k_zeoenergy.htm
1956955,"Unusual Machines, Inc.",3663,8-K,2024-08-07,0001683168-24-005344,umac_8k.htm
1676163,"SS Innovations International, Inc.",3841,8-K,2024-08-14,0001213900-24-068635,ea0211280-8k_ssinnov.htm
1956955,"Unusual Machines, Inc.",3663,8-K/A,2024-08-15,0001683168-24-005779,umac_8ka.htm
1293818,CapForce Inc.,8071,8-K,2024-08-19,0001829126-24-005654,opgeninc_8k.htm
1009919,"Invech Holdings, Inc.",8742,8-K,2024-09-18,0001683168-24-006484,invech_8k.htm
1948455,Ispire Technology Inc.,2111,8-K,2024-09-18,0001213900-24-079914,ea0214507-8k_ispire.htm
730272,REPLIGEN CORP,2836,8-K,2024-09-18,0001193125-24-221406,d886256d8k.htm
1417926,"INVO Fertility, Inc.",3841,8-K,2024-09-20,0001493152-24-037589,form8-k.htm
1723059,Bio Essence Corp,2834,8-K,2024-10-07,0001213900-24-085841,ea021696801-8k_bioessence.htm
771999,"DSS, INC.",2650,8-K,2024-10-22,0001493152-24-042110,form8-k.htm
1849380,OneMedNet Corp,8731,8-K,2024-11-05,0001493152-24-043622,form8-k.htm
1503274,Quanterix Corp,3826,8-K,2024-11-12,0001503274-24-000014,qtrx-20241111.htm
1865506,Zeo Energy Corp.,1700,8-K,2024-11-14,0001213900-24-098500,ea0221356-8k_zeoenergy.htm
1606698,"ALPINE 4 HOLDINGS, INC.",3669,8-K,2024-11-19,0001628280-24-048426,alpp-20241114.htm
1553404,Pacific Green Technologies Inc.,4955,8-K/A,2024-12-12,0001213900-24-108397,ea0224599-8ka1_pacific.htm
1648087,AMERICAN REBEL HOLDINGS INC,3490,8-K,2025-01-15,0001493152-25-002366,form8-k.htm
1326732,Xencor Inc,2834,8-K,2025-02-13,0001326732-25-000005,xncr-20250207.htm
88000,Horizon Kinetics Holding Corp,6282,8-K,2025-02-13,0000950170-25-020010,slgdd-20250207.htm
1839285,"Healthcare Triangle, Inc.",7373,8-K,2025-02-18,0001213900-25-014489,ea0230957-8k_health.htm
1054102,"INTERPACE BIOSCIENCES, INC.",3841,8-K,2025-03-06,0001493152-25-009384,form8-k.htm
1478454,"Eagle Bancorp Montana, Inc.",6022,8-K,2025-03-14,0001437749-25-007746,ebmt20250314_8k.htm
1760689,"Microvast Holdings, Inc.",3690,8-K,2025-03-20,0000947871-25-000325,ss4591070_8k.htm
1501756,"Adverum Biotechnologies, Inc.",2836,8-K,2025-03-31,0001193125-25-068759,d848903d8k.htm
1803977,Limitless X Holdings Inc.,7990,8-K,2025-04-07,0001641172-25-002865,form8-k.htm
1553404,Pacific Green Technologies Inc.,4955,8-K/A,2025-06-20,0001213900-25-056289,ea0246293-8ka1_pacific.htm
1383088,CYTTA CORP.,7372,8-K,2025-07-11,0001477932-25-004991,cyca_8k.htm
1383088,CYTTA CORP.,7372,8-K/A,2025-08-07,0001477932-25-005539,cyca_8ka.htm
709283,QUANTUM CORP /DE/,3572,8-K,2025-08-08,0000709283-25-000021,qtm-20250808.htm
1992243,T1 Energy Inc.,3674,8-K,2025-08-18,0001213900-25-077935,ea0253661-8k_t1energy.htm
1040130,PETMED EXPRESS INC,5912,8-K,2025-10-07,0001040130-25-000064,pets-20251001.htm
1692115,"Southwest Gas Holdings, Inc.",4923,8-K,2026-01-09,0001692115-26-000004,swx-20260109.htm
1804745,Driven Brands Holdings Inc.,7500,8-K,2026-02-25,0001804745-26-000015,drvn-20260225.htm
1417926,"INVO Fertility, Inc.",3841,8-K,2026-06-02,0001493152-26-026772,form8-k.htm
885462,"GULF RESOURCES, INC.",2800,8-K,2026-06-04,0001193805-26-000756,e665548_8k-gulfresources.htm
1722731,"FDCTECH, INC.",7372,8-K,2026-06-08,0001493152-26-027774,form8-k.htm
1722731,"FDCTECH, INC.",7372,8-K,2026-06-23,0001493152-26-029812,form8-k.htm
